combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type,positive_months,months_with_sample,bad_loss_months,worst_month_roi_pct,monthly_detail
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,1129,262,23.21,112900,147530,34630,130.67,563.09,15.92,79.12,497.05,51.55,7.29,66.04,probability_plus_price,3,3,0,123.56,2025-11:334r/123.56%/+7870; 2025-12:364r/139.07%/+14220; 2026-01:431r/129.10%/+12540
1-3,lane1_target_exhibition_st_rank_pair,1-2,1132,310,27.39,113200,143850,30650,127.08,464.03,15.92,79.12,497.05,47.96,11.47,-33.02,probability_plus_price,3,3,0,123.28,2025-11:323r/127.21%/+8790; 2025-12:376r/131.33%/+11780; 2026-01:433r/123.28%/+10080
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | some_other_pressure,325,132,40.62,32500,42410,9910,130.49,321.29,18.62,81.17,436.02,49.32,22.0,-114.73,probability_plus_price,3,3,0,121.56,2025-11:90r/121.56%/+1940; 2025-12:120r/127.33%/+3280; 2026-01:115r/140.78%/+4690
1-3,lane1_target_start_gap_pair,best-<=0.03,1432,356,24.86,143200,177980,34780,124.29,499.94,15.92,79.12,497.05,45.17,8.94,2.89,probability_plus_price,3,3,0,120.35,2025-11:429r/120.35%/+8730; 2025-12:462r/125.63%/+11840; 2026-01:541r/126.27%/+14210
1-3,lane1_target_exhibition_st_rank_pair,1-3,1636,406,24.82,163600,211310,47710,129.16,520.47,15.92,79.12,497.05,50.04,8.9,23.42,probability_plus_price,3,3,0,118.69,2025-11:474r/135.91%/+17020; 2025-12:583r/134.08%/+19870; 2026-01:579r/118.69%/+10820
1-2,lane1_target_exhibition_st_rank_pair,1-2,2032,604,29.72,203200,251470,48270,123.75,416.34,18.62,81.17,436.02,42.58,11.1,-19.68,probability_plus_price,3,3,0,118.1,2025-11:583r/132.49%/+18940; 2025-12:701r/118.10%/+12690; 2026-01:748r/122.25%/+16640
1-3,lane1_target_exhibition_st_rank_pair,2-1,568,151,26.58,56800,69490,12690,122.34,460.2,15.92,79.12,497.05,43.22,10.66,-36.85,probability_plus_price,3,3,0,116.65,2025-11:153r/118.10%/+2770; 2025-12:203r/116.65%/+3380; 2026-01:212r/130.85%/+6540
1-2,lane1_target_exhibition_st_rank_pair,1-3,1047,275,26.27,104700,123210,18510,117.68,448.04,18.62,81.17,436.02,36.51,7.65,12.02,probability_plus_price,3,3,0,115.26,2025-11:300r/123.50%/+7050; 2025-12:365r/115.26%/+5570; 2026-01:382r/115.42%/+5890
1-2,lane1_target_start_gap_pair,best-<=0.03,1678,482,28.72,167800,203220,35420,121.11,421.62,18.62,81.17,436.02,39.94,10.1,-14.4,probability_plus_price,3,3,0,112.25,2025-11:482r/133.69%/+16240; 2025-12:584r/120.00%/+11680; 2026-01:612r/112.25%/+7500
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,1220,310,25.41,122000,150260,28260,123.16,484.71,18.62,81.17,436.02,41.99,6.79,48.69,probability_plus_price,3,3,0,112.22,2025-11:360r/139.83%/+14340; 2025-12:410r/120.54%/+8420; 2026-01:450r/112.22%/+5500
