combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type,positive_months,months_with_sample,bad_loss_months,worst_month_roi_pct,monthly_detail
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,1248,349,27.96,124800,162750,37950,130.41,466.33,19.48,83.11,426.57,47.3,8.48,39.76,probability_plus_price,3,3,0,122.33,2025-01:456r/127.57%/+12570; 2025-02:373r/122.33%/+8330; 2025-03:419r/140.69%/+17050
1-2,lane1_target_exhibition_st_rank_pair,1-2,2077,645,31.05,207700,273940,66240,131.89,424.71,19.48,83.11,426.57,48.78,11.57,-1.86,probability_plus_price,3,3,0,120.04,2025-01:713r/133.77%/+24080; 2025-02:668r/120.04%/+13390; 2025-03:696r/141.34%/+28770
1-2,lane1_target_start_gap_pair,best-<=0.03,1649,503,30.5,164900,209000,44100,126.74,415.51,19.48,83.11,426.57,43.63,11.02,-11.06,probability_plus_price,3,3,0,119.9,2025-01:611r/126.66%/+16290; 2025-02:490r/119.90%/+9750; 2025-03:548r/132.96%/+18060
1-2,lane1_target_exhibition_st_rank_pair,2-1,689,196,28.45,68900,82380,13480,119.56,420.31,19.48,83.11,426.57,36.45,8.97,-6.26,probability_plus_price,3,3,0,112.83,2025-01:241r/125.27%/+6090; 2025-02:226r/112.83%/+2900; 2025-03:222r/120.23%/+4490
1-2,lane1_target_start_gap_pair,best-0.04-0.06,1407,396,28.14,140700,166980,26280,118.68,421.67,19.48,83.11,426.57,35.57,8.66,-4.9,probability_plus_price,3,3,0,111.43,2025-01:495r/111.43%/+5660; 2025-02:436r/119.06%/+8310; 2025-03:476r/125.86%/+12310
1-3,lane1_target_exhibition_st_rank_pair,1-3,1565,340,21.73,156500,175780,19280,112.32,517.0,15.46,77.27,499.69,35.05,6.27,17.31,probability_plus_price,3,3,0,100.58,2025-01:550r/119.80%/+10890; 2025-02:501r/116.15%/+8090; 2025-03:514r/100.58%/+300
1-3,lane1_target_exhibition_st_rank_pair,1-2,1134,286,25.22,113400,128370,14970,113.2,448.85,15.46,77.27,499.69,35.93,9.76,-50.84,probability_plus_price,3,3,0,100.54,2025-01:402r/132.11%/+12910; 2025-02:346r/105.35%/+1850; 2025-03:386r/100.54%/+210
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | high_other_pressure,697,137,19.66,69700,75290,5590,108.02,549.56,15.46,77.27,499.69,30.75,4.2,49.87,mixed_edge,2,3,0,99.84,2025-01:249r/99.84%/-40; 2025-02:232r/119.48%/+4520; 2025-03:216r/105.14%/+1110
