logic_id,combo,slice_family,slice_value,train_sample_races,train_hits,train_hit_rate_pct,train_roi_pct,train_roi_lift_pct,train_positive_months,target_bets,target_hits,target_hit_rate_pct,target_return_yen,target_profit_yen,target_roi_pct,target_avg_hit_payout_yen
L01,1-2,lane1_target_exhibition_st_rank_pair,1-2,1764,532,30.16,128.75,48.98,3,775,216,27.87,88850,11350,114.65,411.34
L02,1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | high_other_pressure,925,204,22.05,125.48,47.65,3,417,89,21.34,51170,9470,122.71,574.94
L03,1-3,lane1_target_exhibition_st_rank_pair,1-3,1396,343,24.57,125.97,48.14,3,622,158,25.4,82790,20590,133.1,523.99
L04,1-3,lane1_target_start_gap_pair,best-0.04-0.06,1180,279,23.64,123.0,45.17,3,534,131,24.53,66340,12940,124.23,506.41
L05,1-3,lane1_target_exhibition_st_rank_pair,3-1,386,86,22.28,130.21,52.38,3,192,27,14.06,11510,-7690,59.95,426.3
L06,1-2,lane1_target_exhibition_st_rank_pair,1-3,909,215,23.65,118.29,38.52,3,401,94,23.44,41580,1480,103.69,442.34
L07,1-3,other_group_pattern,B-A-A-A,310,48,15.48,119.16,41.33,3,125,15,12.0,7330,-5170,58.64,488.67
L08,1-2,lane1_target_start_gap_pair,best-best,321,98,30.53,127.13,47.36,3,158,46,29.11,19670,3870,124.49,427.61
L09,1-2,lane1_exhibition_st_rank_bucket,1,3987,994,24.93,111.1,31.33,3,1735,423,24.38,175670,2170,101.25,415.3
L10,1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | high_other_pressure,921,201,21.82,112.13,32.36,3,377,74,19.63,33940,-3760,90.03,458.65
