combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type,positive_months,months_with_sample,bad_loss_months,worst_month_roi_pct,monthly_detail
1-2,lane1_target_exhibition_st_rank_pair,1-2,2038,599,29.39,203800,259630,55830,127.39,433.44,18.77,81.19,432.63,46.2,10.62,0.81,probability_plus_price,3,3,0,120.04,2024-12:657r/127.95%/+18360; 2025-01:713r/133.77%/+24080; 2025-02:668r/120.04%/+13390
1-2,lane1_target_start_gap_pair,best-<=0.03,1667,485,29.09,166700,204380,37680,122.6,421.4,18.77,81.19,432.63,41.41,10.32,-11.23,probability_plus_price,3,3,0,119.9,2024-12:566r/120.57%/+11640; 2025-01:611r/126.66%/+16290; 2025-02:490r/119.90%/+9750
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | high_other_pressure,1078,236,21.89,107800,132000,24200,122.45,559.32,15.49,76.86,496.19,45.59,6.4,63.13,probability_plus_price,3,3,0,117.94,2024-12:369r/123.69%/+8740; 2025-01:383r/117.94%/+6870; 2025-02:326r/126.35%/+8590
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,1247,322,25.82,124700,152950,28250,122.65,475.0,18.77,81.19,432.63,41.46,7.05,42.37,probability_plus_price,3,3,0,117.58,2024-12:418r/117.58%/+7350; 2025-01:456r/127.57%/+12570; 2025-02:373r/122.33%/+8330
1-3,lane1_target_exhibition_st_rank_pair,1-3,1572,371,23.6,157200,186420,29220,118.59,502.48,15.49,76.86,496.19,41.73,8.11,6.29,probability_plus_price,3,3,0,116.15,2024-12:521r/119.65%/+10240; 2025-01:550r/119.80%/+10890; 2025-02:501r/116.15%/+8090
1-3,lane1_target_start_gap_pair,best-0.04-0.06,1357,327,24.1,135700,161490,25790,119.01,493.85,15.49,76.86,496.19,42.15,8.61,-2.34,probability_plus_price,3,3,0,116.13,2024-12:472r/120.32%/+9590; 2025-01:481r/116.13%/+7760; 2025-02:404r/120.89%/+8440
1-2,target_exhibition_st_rank_bucket,2,3101,775,24.99,310100,345190,35090,111.32,445.41,18.77,81.19,432.63,30.13,6.22,12.78,probability_plus_price,3,3,0,109.21,2024-12:1006r/114.05%/+14130; 2025-01:1107r/109.21%/+10200; 2025-02:988r/110.89%/+10760
1-2,lane1_exhibition_st_rank_bucket,1,4657,1188,25.51,465700,505650,39950,108.58,425.63,18.77,81.19,432.63,27.39,6.74,-7.0,probability_plus_price,3,3,0,105.98,2024-12:1593r/105.98%/+9520; 2025-01:1623r/111.03%/+17900; 2025-02:1441r/108.70%/+12530
1-3,lane1_target_exhibition_st_rank_pair,1-2,1183,305,25.78,118300,140770,22470,118.99,461.54,15.49,76.86,496.19,42.13,10.29,-34.65,probability_plus_price,3,3,0,105.35,2024-12:435r/117.72%/+7710; 2025-01:402r/132.11%/+12910; 2025-02:346r/105.35%/+1850
1-3,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,3 | 1,2086,456,21.86,208600,232500,23900,111.46,509.87,15.49,76.86,496.19,34.6,6.37,13.68,probability_plus_price,3,3,0,105.22,2024-12:739r/105.22%/+3860; 2025-01:705r/115.22%/+10730; 2025-02:642r/114.50%/+9310
