combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type,positive_months,months_with_sample,bad_loss_months,worst_month_roi_pct,monthly_detail
1-3,lane1_target_exhibition_st_rank_pair,1-3,1428,351,24.58,142800,193250,50450,135.33,550.57,15.74,80.12,508.92,55.21,8.84,41.65,probability_plus_price,3,3,0,122.86,2025-07:494r/158.04%/+28670; 2025-08:486r/122.86%/+11110; 2025-09:448r/123.82%/+10670
1-3,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 3,1428,351,24.58,142800,193250,50450,135.33,550.57,15.74,80.12,508.92,55.21,8.84,41.65,probability_plus_price,3,3,0,122.86,2025-07:494r/158.04%/+28670; 2025-08:486r/122.86%/+11110; 2025-09:448r/123.82%/+10670
1-2,lane1_target_exhibition_st_rank_pair,1-2,1847,536,29.02,184700,227380,42680,123.11,424.22,17.0,77.24,454.24,45.87,12.02,-30.02,probability_plus_price,3,3,0,120.0,2025-07:618r/129.13%/+18000; 2025-08:635r/120.16%/+12800; 2025-09:594r/120.00%/+11880
1-2,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 2,1847,536,29.02,184700,227380,42680,123.11,424.22,17.0,77.24,454.24,45.87,12.02,-30.02,probability_plus_price,3,3,0,120.0,2025-07:618r/129.13%/+18000; 2025-08:635r/120.16%/+12800; 2025-09:594r/120.00%/+11880
1-2,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,2 | 0,1847,536,29.02,184700,227380,42680,123.11,424.22,17.0,77.24,454.24,45.87,12.02,-30.02,probability_plus_price,3,3,0,120.0,2025-07:618r/129.13%/+18000; 2025-08:635r/120.16%/+12800; 2025-09:594r/120.00%/+11880
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-<=0.03 | high_other_pressure,664,152,22.89,66400,81340,14940,122.5,535.13,17.0,77.24,454.24,45.26,5.89,80.89,price_distortion,3,3,0,114.92,2025-07:225r/132.62%/+7340; 2025-08:246r/114.92%/+3670; 2025-09:193r/120.36%/+3930
1-2,lane1_target_start_gap_pair,best-<=0.03,1568,416,26.53,156800,182600,25800,116.45,438.94,17.0,77.24,454.24,39.21,9.53,-15.3,probability_plus_price,3,3,0,110.88,2025-07:556r/117.03%/+9470; 2025-08:525r/110.88%/+5710; 2025-09:487r/121.81%/+10620
1-2,target_lane x lane1_target_start_gap_pair,2 | best-<=0.03,1568,416,26.53,156800,182600,25800,116.45,438.94,17.0,77.24,454.24,39.21,9.53,-15.3,probability_plus_price,3,3,0,110.88,2025-07:556r/117.03%/+9470; 2025-08:525r/110.88%/+5710; 2025-09:487r/121.81%/+10620
1-2,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | <=0.03,1568,416,26.53,156800,182600,25800,116.45,438.94,17.0,77.24,454.24,39.21,9.53,-15.3,probability_plus_price,3,3,0,110.88,2025-07:556r/117.03%/+9470; 2025-08:525r/110.88%/+5710; 2025-09:487r/121.81%/+10620
1-3,lane1_target_exhibition_st_rank_pair,1-2,1090,306,28.07,109000,137420,28420,126.07,449.08,15.74,80.12,508.92,45.95,12.33,-59.84,probability_plus_price,3,3,0,109.09,2025-07:360r/120.58%/+7410; 2025-08:377r/147.21%/+17800; 2025-09:353r/109.09%/+3210
1-3,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 2,1090,306,28.07,109000,137420,28420,126.07,449.08,15.74,80.12,508.92,45.95,12.33,-59.84,probability_plus_price,3,3,0,109.09,2025-07:360r/120.58%/+7410; 2025-08:377r/147.21%/+17800; 2025-09:353r/109.09%/+3210
1-2,lane1_target_start_gap_pair,<=0.03-<=0.03,889,211,23.73,88900,102340,13440,115.12,485.02,17.0,77.24,454.24,37.88,6.73,30.78,probability_plus_price,3,3,0,108.92,2025-07:306r/116.11%/+4930; 2025-08:314r/108.92%/+2800; 2025-09:269r/121.23%/+5710
1-2,target_lane x lane1_target_start_gap_pair,2 | <=0.03-<=0.03,889,211,23.73,88900,102340,13440,115.12,485.02,17.0,77.24,454.24,37.88,6.73,30.78,probability_plus_price,3,3,0,108.92,2025-07:306r/116.11%/+4930; 2025-08:314r/108.92%/+2800; 2025-09:269r/121.23%/+5710
1-2,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,<=0.03 | <=0.03,889,211,23.73,88900,102340,13440,115.12,485.02,17.0,77.24,454.24,37.88,6.73,30.78,probability_plus_price,3,3,0,108.92,2025-07:306r/116.11%/+4930; 2025-08:314r/108.92%/+2800; 2025-09:269r/121.23%/+5710
1-3,lane1_exhibition_st_rank_bucket,1,4320,957,22.15,432000,485360,53360,112.35,507.17,15.74,80.12,508.92,32.23,6.41,-1.75,probability_plus_price,3,3,0,108.84,2025-07:1489r/118.80%/+27990; 2025-08:1503r/108.84%/+13290; 2025-09:1328r/109.10%/+12080
1-3,lane1_start_exhibition_gap_bucket,best,4320,957,22.15,432000,485360,53360,112.35,507.17,15.74,80.12,508.92,32.23,6.41,-1.75,probability_plus_price,3,3,0,108.84,2025-07:1489r/118.80%/+27990; 2025-08:1503r/108.84%/+13290; 2025-09:1328r/109.10%/+12080
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,1151,272,23.63,115100,131430,16330,114.19,483.2,17.0,77.24,454.24,36.95,6.63,28.96,probability_plus_price,3,3,0,106.73,2025-07:415r/117.33%/+7190; 2025-08:376r/106.73%/+2530; 2025-09:360r/118.36%/+6610
1-2,lane1_target_start_gap_pair,best-best,346,104,30.06,34600,42330,7730,122.34,407.02,17.0,77.24,454.24,45.1,13.06,-47.22,probability_plus_price,3,3,0,104.46,2025-07:112r/104.46%/+500; 2025-08:111r/124.23%/+2690; 2025-09:123r/136.91%/+4540
1-2,target_lane x lane1_target_start_gap_pair,2 | best-best,346,104,30.06,34600,42330,7730,122.34,407.02,17.0,77.24,454.24,45.1,13.06,-47.22,probability_plus_price,3,3,0,104.46,2025-07:112r/104.46%/+500; 2025-08:111r/124.23%/+2690; 2025-09:123r/136.91%/+4540
1-2,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | best,346,104,30.06,34600,42330,7730,122.34,407.02,17.0,77.24,454.24,45.1,13.06,-47.22,probability_plus_price,3,3,0,104.46,2025-07:112r/104.46%/+500; 2025-08:111r/124.23%/+2690; 2025-09:123r/136.91%/+4540
1-3,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,3 | 1,2004,436,21.76,200400,235630,35230,117.58,540.44,15.74,80.12,508.92,37.46,6.02,31.52,probability_plus_price,3,3,0,104.41,2025-07:699r/135.59%/+24880; 2025-08:671r/104.41%/+2960; 2025-09:634r/111.66%/+7390
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,999,245,24.52,99900,135330,35430,135.47,552.37,15.74,80.12,508.92,55.35,8.78,43.45,probability_plus_price,3,3,0,104.29,2025-07:332r/149.85%/+16550; 2025-08:341r/151.26%/+17480; 2025-09:326r/104.29%/+1400
1-3,lane1_target_start_gap_pair,best-<=0.03,1323,342,25.85,132300,166670,34370,125.98,487.34,15.74,80.12,508.92,45.86,10.11,-21.58,probability_plus_price,3,3,0,103.53,2025-07:437r/130.94%/+13520; 2025-08:453r/142.65%/+19320; 2025-09:433r/103.53%/+1530
1-3,target_lane x lane1_target_start_gap_pair,3 | best-<=0.03,1323,342,25.85,132300,166670,34370,125.98,487.34,15.74,80.12,508.92,45.86,10.11,-21.58,probability_plus_price,3,3,0,103.53,2025-07:437r/130.94%/+13520; 2025-08:453r/142.65%/+19320; 2025-09:433r/103.53%/+1530
1-3,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | <=0.03,1323,342,25.85,132300,166670,34370,125.98,487.34,15.74,80.12,508.92,45.86,10.11,-21.58,probability_plus_price,3,3,0,103.53,2025-07:437r/130.94%/+13520; 2025-08:453r/142.65%/+19320; 2025-09:433r/103.53%/+1530
1-3,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,2 | 0,1314,336,25.57,131400,149760,18360,113.97,445.71,15.74,80.12,508.92,33.85,9.83,-63.21,probability_plus_price,3,3,0,101.63,2025-07:433r/111.55%/+5000; 2025-08:457r/127.72%/+12670; 2025-09:424r/101.63%/+690
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | high_other_pressure,985,209,21.22,98500,121960,23460,123.82,583.54,15.74,80.12,508.92,43.7,5.48,74.62,probability_plus_price,2,3,0,99.65,2025-07:353r/139.86%/+14070; 2025-08:341r/99.65%/-120; 2025-09:291r/132.68%/+9510
