logic_id,combo,slice_family,slice_value,train_sample_races,train_hits,train_hit_rate_pct,train_roi_pct,train_roi_lift_pct,train_positive_months,target_bets,target_hits,target_hit_rate_pct,target_return_yen,target_profit_yen,target_roi_pct,target_avg_hit_payout_yen
L01,1-3,lane1_target_exhibition_st_rank_pair,1-3,1428,351,24.58,135.33,55.21,3,476,114,23.95,54460,6860,114.41,477.72
L02,1-2,lane1_target_exhibition_st_rank_pair,1-2,1847,536,29.02,123.11,45.87,3,595,167,28.07,66670,7170,112.05,399.22
L03,1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-<=0.03 | high_other_pressure,664,152,22.89,122.5,45.26,3,231,44,19.05,17670,-5430,76.49,401.59
L04,1-2,lane1_target_start_gap_pair,best-<=0.03,1568,416,26.53,116.45,39.21,3,501,131,26.15,48790,-1310,97.39,372.44
L05,1-3,lane1_target_exhibition_st_rank_pair,1-2,1090,306,28.07,126.07,45.95,3,371,87,23.45,39800,2700,107.28,457.47
L06,1-2,lane1_target_start_gap_pair,<=0.03-<=0.03,889,211,23.73,115.12,37.88,3,299,57,19.06,21340,-8560,71.37,374.39
L07,1-3,lane1_exhibition_st_rank_bucket,1,4320,957,22.15,112.35,32.23,3,1367,286,20.92,132310,-4390,96.79,462.62
L08,1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,1151,272,23.63,114.19,36.95,3,379,91,24.01,36550,-1350,96.44,401.65
L09,1-3,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,3 | 1,2004,436,21.76,117.58,37.46,3,604,110,18.21,53670,-6730,88.86,487.91
L10,1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,999,245,24.52,135.47,55.35,3,358,75,20.95,40680,4880,113.63,542.4
